Date,AdaniPorts,NIFTY50
2026-03-05,1462.800048828125,24649.69921875
2026-03-10,1434.300048828125,24166.599609375
2026-03-10,1424.0999755859375,24261.599609375
2026-03-11,1410.800048828125,23866.849609375
2026-03-12,1391.5,23639.150390625
2026-03-13,1363.199951171875,23151.099609375
2026-03-16,1373.9000244140625,23408.80078125
2026-03-17,1365.5,23581.150390625
2026-03-18,1401.9000244140625,23777.80078125
2026-03-19,1356.0,23002.150390625
2026-03-20,1365.4000244140625,23114.5
2026-03-23,1303.5999755859375,22512.650390625
2026-03-24,1344.199951171875,22912.400390625
2026-03-25,1375.9000244140625,23306.44921875
2026-03-26,1375.9000244140625,23306.44921875
